Trait,Category,Category Code,Scoring Basis,Low Score Range,Low Tag,Low Meaning,Medium Score Range,Medium Tag,Medium Meaning,High Score Range,High Tag,High Meaning
Openness,Nutritional Curiosity,nutritional_curiosity,Average score after reverse-key adjustment,1.00–2.99,nutritional_curiosity_low,Lower curiosity toward food exploration and nutrition learning.,3.00–4.99,nutritional_curiosity_medium,Moderate food curiosity; selective interest in trying or learning.,5.00–7.00,nutritional_curiosity_high,"High curiosity toward food exploration, healthy-food novelty, and nutrition learning."
Openness,Exercise Exploration,exercise_exploration,Average score after reverse-key adjustment,1.00–2.99,exercise_exploration_low,Lower interest in exploring new ways to stay active.,3.00–4.99,exercise_exploration_medium,Moderate interest in new movement options.,5.00–7.00,exercise_exploration_high,High interest in exploring different forms of movement and activity.
Openness,Recovery Exploration,recovery_exploration,Average score after reverse-key adjustment,1.00–2.99,recovery_exploration_low,Lower curiosity about recovery methods or recovery learning.,3.00–4.99,recovery_exploration_medium,Moderate recovery curiosity; may explore selectively.,5.00–7.00,recovery_exploration_high,High curiosity about recovery approaches and ways to recharge.
Openness,Mind-Body Exploration,mind_body_exploration,Average score after reverse-key adjustment,1.00–2.99,mind_body_exploration_low,"Lower interest in reflection, mindfulness, or self-awareness practices.",3.00–4.99,mind_body_exploration_medium,Moderate interest in mind-body practices.,5.00–7.00,mind_body_exploration_high,"High interest in reflection, mindfulness, and mental wellness exploration."
Openness,Wellness Learning Orientation,wellness_learning_orientation,Average score after reverse-key adjustment,1.00–2.99,wellness_learning_orientation_low,Lower tendency to learn before making wellness choices.,3.00–4.99,wellness_learning_orientation_medium,Moderate learning orientation; may seek information when needed.,5.00–7.00,wellness_learning_orientation_high,"High tendency to learn, compare, and understand before wellness decisions."
Openness,Wellness Adaptability,wellness_adaptability,Average score after reverse-key adjustment,1.00–2.99,wellness_adaptability_low,Lower willingness to change wellness habits or approaches.,3.00–4.99,wellness_adaptability_medium,Moderate adaptability; may change when benefits are clear.,5.00–7.00,wellness_adaptability_high,High flexibility and willingness to update wellness habits.
Conscientiousness,Meal Planning Discipline,meal_planning_discipline,Average score after reverse-key adjustment,1.00–2.99,meal_planning_discipline_low,Lower planning around food decisions.,3.00–4.99,meal_planning_discipline_medium,Moderate meal planning; may plan when convenient.,5.00–7.00,meal_planning_discipline_high,High tendency to plan food choices ahead.
Conscientiousness,Workout Adherence,workout_adherence,Average score after reverse-key adjustment,1.00–2.99,workout_adherence_low,Lower follow-through on physical activity intentions.,3.00–4.99,workout_adherence_medium,Moderate follow-through; consistency may depend on circumstances.,5.00–7.00,workout_adherence_high,High tendency to follow through on activity plans.
Conscientiousness,Sleep Routine Consistency,sleep_routine_consistency,Average score after reverse-key adjustment,1.00–2.99,sleep_routine_consistency_low,Lower tendency to maintain steady sleep routines.,3.00–4.99,sleep_routine_consistency_medium,Moderate sleep routine consistency.,5.00–7.00,sleep_routine_consistency_high,High tendency to maintain and protect sleep routines.
Conscientiousness,Progress Tracking,progress_tracking,Average score after reverse-key adjustment,1.00–2.99,progress_tracking_low,Lower tendency to monitor wellness progress.,3.00–4.99,progress_tracking_medium,Moderate interest in checking progress.,5.00–7.00,progress_tracking_high,"High tendency to track, review, and monitor wellness improvement."
Conscientiousness,Impulse Control,impulse_control,Average score after reverse-key adjustment,1.00–2.99,impulse_control_low,Lower ability to pause before short-term choices.,3.00–4.99,impulse_control_medium,Moderate impulse control; varies by situation.,5.00–7.00,impulse_control_high,"High ability to pause, think, and make intentional wellness choices."
Conscientiousness,Recovery Discipline,recovery_discipline,Average score after reverse-key adjustment,1.00–2.99,recovery_discipline_low,Lower tendency to act on recovery needs.,3.00–4.99,recovery_discipline_medium,Moderate recovery discipline; may rest when signals are obvious.,5.00–7.00,recovery_discipline_high,"High tendency to respect rest, recovery, and fatigue signals."
Extraversion,Social Workout Preference,social_workout_preference,Average score after reverse-key adjustment,1.00–2.99,social_workout_preference_low,Lower preference for being active with others.,3.00–4.99,social_workout_preference_medium,Moderate social activity preference.,5.00–7.00,social_workout_preference_high,High preference for physical activity with others.
Extraversion,Wellness Sharing,wellness_sharing,Average score after reverse-key adjustment,1.00–2.99,wellness_sharing_low,Lower tendency to discuss or share wellness interests.,3.00–4.99,wellness_sharing_medium,Moderate wellness sharing; shares selectively.,5.00–7.00,wellness_sharing_high,High tendency to talk about and share wellness ideas.
Extraversion,Healthy Competition,healthy_competition,Average score after reverse-key adjustment,1.00–2.99,healthy_competition_low,Lower motivation from challenge or comparison.,3.00–4.99,healthy_competition_medium,Moderate response to healthy competition.,5.00–7.00,healthy_competition_high,"High motivation from friendly competition, challenge, or comparison."
Extraversion,Activity Energy,activity_energy,Average score after reverse-key adjustment,1.00–2.99,activity_energy_low,Lower natural drive toward movement or stimulation.,3.00–4.99,activity_energy_medium,Moderate activity energy.,5.00–7.00,activity_energy_high,"High natural energy, movement-seeking, and activity drive."
Extraversion,Group Recovery Preference,group_recovery_preference,Average score after reverse-key adjustment,1.00–2.99,group_recovery_preference_low,Lower preference for shared relaxation or recovery activities.,3.00–4.99,group_recovery_preference_medium,Moderate preference for group-based recovery.,5.00–7.00,group_recovery_preference_high,High preference for relaxing or recovering through shared activities.
Extraversion,Positive Wellness Influence,positive_wellness_influence,Average score after reverse-key adjustment,1.00–2.99,positive_wellness_influence_low,Lower outward enthusiasm or influence around wellness.,3.00–4.99,positive_wellness_influence_medium,Moderate tendency to encourage or influence others.,5.00–7.00,positive_wellness_influence_high,High outward wellness enthusiasm and positive influence on others.
Agreeableness,Nutrition Consideration,nutrition_consideration,Average score after reverse-key adjustment,1.00–2.99,nutrition_consideration_low,Lower tendency to consider others' food preferences.,3.00–4.99,nutrition_consideration_medium,Moderate consideration of others in food choices.,5.00–7.00,nutrition_consideration_high,High consideration and accommodation of others' food needs.
Agreeableness,Wellness Harmony,wellness_harmony,Average score after reverse-key adjustment,1.00–2.99,wellness_harmony_low,"Lower preference for respectful, low-conflict wellness discussions.",3.00–4.99,wellness_harmony_medium,Moderate harmony orientation.,5.00–7.00,wellness_harmony_high,"High preference for respectful, cooperative wellness discussions."
Agreeableness,Supportive Encouragement,supportive_encouragement,Average score after reverse-key adjustment,1.00–2.99,supportive_encouragement_low,Lower tendency to encourage others' wellness efforts.,3.00–4.99,supportive_encouragement_medium,Moderate supportiveness.,5.00–7.00,supportive_encouragement_high,High tendency to encourage and celebrate others' wellness progress.
Agreeableness,Respect for Guidance,respect_for_guidance,Average score after reverse-key adjustment,1.00–2.99,respect_for_guidance_low,Lower receptiveness to helpful advice or feedback.,3.00–4.99,respect_for_guidance_medium,Moderate receptiveness to guidance.,5.00–7.00,respect_for_guidance_high,High openness to trusted guidance and constructive feedback.
Agreeableness,Cooperative Participation,cooperative_participation,Average score after reverse-key adjustment,1.00–2.99,cooperative_participation_low,Lower tendency to adjust or cooperate in shared wellness activities.,3.00–4.99,cooperative_participation_medium,Moderate cooperative participation.,5.00–7.00,cooperative_participation_high,High willingness to cooperate and adapt when working with others.
Agreeableness,Shared Recovery Respect,shared_recovery_respect,Average score after reverse-key adjustment,1.00–2.99,shared_recovery_respect_low,Lower awareness of others' rest and recovery needs.,3.00–4.99,shared_recovery_respect_medium,Moderate respect for shared recovery needs.,5.00–7.00,shared_recovery_respect_high,"High respect for others' quiet, rest, and recovery needs."
Neuroticism,Health Anxiety Sensitivity,health_anxiety_sensitivity,Average score after reverse-key adjustment,1.00–2.99,health_anxiety_sensitivity_low,Low tendency to worry about body changes or health signals.,3.00–4.99,health_anxiety_sensitivity_medium,Moderate health worry or reassurance seeking.,5.00–7.00,health_anxiety_sensitivity_high,"High sensitivity to body changes, health concerns, or reassurance needs."
Neuroticism,Emotional Eating Response,emotional_eating_response,Average score after reverse-key adjustment,1.00–2.99,emotional_eating_response_low,Low tendency for emotions to affect eating choices.,3.00–4.99,emotional_eating_response_medium,Moderate emotion-driven eating response.,5.00–7.00,emotional_eating_response_high,High tendency for emotions to affect eating amount or food choices.
Neuroticism,Stress Impact on Consistency,stress_impact_on_consistency,Average score after reverse-key adjustment,1.00–2.99,stress_impact_on_consistency_low,Low tendency for stress to disrupt wellness routines.,3.00–4.99,stress_impact_on_consistency_medium,Moderate stress-related disruption.,5.00–7.00,stress_impact_on_consistency_high,High tendency for stress or pressure to disrupt wellness consistency.
Neuroticism,Sleep Worry & Mental Overload,sleep_worry_mental_overload,Average score after reverse-key adjustment,1.00–2.99,sleep_worry_mental_overload_low,Low tendency for worry or mental load to affect sleep.,3.00–4.99,sleep_worry_mental_overload_medium,Moderate night-time mental load.,5.00–7.00,sleep_worry_mental_overload_high,"High tendency for thoughts, worry, or mental load to disrupt sleep."
Neuroticism,Wellness Stability,wellness_stability,Average score after reverse-key adjustment,1.00–2.99,wellness_stability_low,Low all-or-nothing swings; more stable wellness patterns.,3.00–4.99,wellness_stability_medium,Moderate wellness stability; some swings after disruption.,5.00–7.00,wellness_stability_high,High tendency toward all-or-nothing patterns or routine instability.
Neuroticism,Emotional Recovery Resilience,emotional_recovery_resilience,Average score after reverse-key adjustment,1.00–2.99,emotional_recovery_resilience_low,Low difficulty recovering emotionally from wellness setbacks.,3.00–4.99,emotional_recovery_resilience_medium,Moderate emotional recovery difficulty after setbacks.,5.00–7.00,emotional_recovery_resilience_high,High self-criticism or slow emotional recovery after wellness setbacks.
