"S.No.","Category","Question ID","Revised Question","Direct / Reverse Keyed"
"1","Nutritional Curiosity","O-NC-1","I enjoy trying foods that I have never eaten before.","Direct"
"2","Nutritional Curiosity","O-NC-2","I am interested in trying healthy foods that are new to me, even if they are unfamiliar.","Direct"
"3","Nutritional Curiosity","O-NC-3","I usually prefer familiar foods instead of trying different ones.","Reverse"
"4","Exercise Exploration","O-EE-1","I am willing to try a new type of physical activity if it looks interesting.","Direct"
"5","Exercise Exploration","O-EE-2","I enjoy learning about different ways people stay physically active.","Direct"
"6","Exercise Exploration","O-EE-3","I prefer sticking to activities I already know rather than trying new ones.","Reverse"
"7","Recovery Exploration","O-RE-1","I am curious about different ways people recover and recharge their bodies.","Direct"
"8","Recovery Exploration","O-RE-2","I like learning about methods that may help people feel refreshed and recovered.","Direct"
"9","Recovery Exploration","O-RE-3","I usually rely on the same recovery habits and rarely explore alternatives.","Reverse"
"10","Mind-Body Exploration","O-ME-1","I am interested in activities that help me understand my thoughts and feelings better.","Direct"
"11","Mind-Body Exploration","O-ME-2","I'm curious about practices like breathing exercises or meditation that help calm the mind.","Direct"
"12","Mind-Body Exploration","O-ME-3","I don't usually spend time thinking about how my mood or stress levels affect my health.","Reverse"
"13","Wellness Learning Orientation","O-WL-1","I like learning about a health idea before deciding whether it is worth trying.","Direct"
"14","Wellness Learning Orientation","O-WL-2","I enjoy comparing information from different sources before making wellness decisions related to food, workout, recovery, etc.","Direct"
"15","Wellness Learning Orientation","O-WL-3","I usually accept health advice without trying to learn more about it.","Reverse"
"16","Wellness Adaptability","O-WA-1","If I hear about a healthier way to do something, I'm happy to drop my old habit and try the new one.","Direct"
"17","Wellness Adaptability","O-WA-2","I tend to adjust my wellness routine when my circumstances change.","Direct"
"18","Wellness Adaptability","O-WA-3","Once I get used to a health routine, I prefer not to change it.","Reverse"
"19","Meal Planning Discipline","C-MP-1","Before I get hungry, I usually have an idea of what I'm going to eat.","Direct"
"20","Meal Planning Discipline","C-MP-2","I find it easier to make healthy food choices when I plan in advance.","Direct"
"21","Meal Planning Discipline","C-MP-3","When it's time to eat, I usually don't give it much thought and decide on the spot.","Reverse"
"22","Workout Adherence","C-WA-1","If I decide to be active on a specific day, I usually usually do it even if I don't feel like it.","Direct"
"23","Workout Adherence","C-WA-2","Even during busy periods, physical activity remains a priority for me.","Direct"
"24","Workout Adherence","C-WA-3","I often skip planned physical activities or workouts for small reasons like feeling lazy or having other things to do.","Reverse"
"25","Sleep Routine Consistency","C-SR-1","I prefer going to bed around the same time most days.","Direct"
"26","Sleep Routine Consistency","C-SR-2","Even if there's a late-night event or work deadline, I try not to sacrifice my sleep.","Direct"
"27","Sleep Routine Consistency","C-SR-3","My sleep timing varies a lot from day to day, depending on how I feel or what's happening.","Reverse"
"28","Progress Tracking","C-PT-1","I like to track and see if my health habits have improved over a period of time.","Direct"
"29","Progress Tracking","C-PT-2","I often note down things like what I ate, how I slept, or how much I moved.","Direct"
"30","Progress Tracking","C-PT-3","I don't usually keep track of whether my health habits are getting better or worse.","Reverse"
"31","Impulse Control","C-IC-1","Before grabbing an unhealthy snack or skipping a workout, I usually stop and think about whether it's worth it.","Direct"
"32","Impulse Control","C-IC-2","When choosing between a quick treat and something healthier, I usually think about how I'll feel later.","Direct"
"33","Impulse Control","C-IC-3","When I get a craving for junk food or feel like skipping exercise, I usually give in without much thought.","Reverse"
"34","Recovery Discipline","C-RD-1","Rest & recovery are just as important to me as staying active. After a tough workout or a long week, I make sure to give my body proper time to recover.","Direct"
"35","Recovery Discipline","C-RD-2","I schedule rest days in advance, not just when I feel tired.","Direct"
"36","Recovery Discipline","C-RD-3","Even when my body feels sore or tired, I push through instead of taking a break.","Reverse"
"37","Social Workout Preference","E-SW-1","Physical activities like walking, yoga, workout, etc. feel more fun when I have company.","Direct"
"38","Social Workout Preference","E-SW-2","I'm more likely to show up for exercise if I've committed to doing it with someone else or in a group.","Direct"
"39","Social Workout Preference","E-SW-3","I usually prefer doing physical activities completely on my own.","Reverse"
"40","Wellness Sharing","E-WS-1","When I try a new workout or healthy recipe, I like to tell people about it.","Direct"
"41","Wellness Sharing","E-WS-2","If I come across an interesting health article or video, I often forward it to others.","Direct"
"42","Wellness Sharing","E-WS-3","I don't usually talk about my health habits with anyone, even close friends or family.","Reverse"
"43","Healthy Competition","E-HC-1","I enjoy challenges and push myself harder to keep up.","Direct"
"44","Healthy Competition","E-HC-2","I like fitness contests that show how I'm progressing compared to others.","Direct"
"45","Healthy Competition","E-HC-3","When it comes to wellness, competing with others does not motivate me at all.","Reverse"
"46","Activity Energy","E-AE-1","I feel best on days when I've been physically active and doing things rather than sitting around.","Direct"
"47","Activity Energy","E-AE-2","If I've been sitting for a while, I look for a reason to get up and move — even a short walk or stretch.","Direct"
"48","Activity Energy","E-AE-3","I am comfortable even if I haven't been active for most of the day.","Reverse"
"49","Group Recovery Preference","E-GR-1","After a long day, I'd rather unwind by chatting with family or friends than sitting quietly alone.","Direct"
"50","Group Recovery Preference","E-GR-2","When I have free time, I'd rather spend it at a busy place like a park or café than stay home alone.","Direct"
"51","Group Recovery Preference","E-GR-3","I prefer recovering and relaxing completely by myself.","Reverse"
"52","Positive Wellness Influence","E-PW-1","I often bring up healthy habits in conversations, even when others haven't asked.","Direct"
"53","Positive Wellness Influence","E-PW-2","When I discover something that works for my health, I feel excited to share it with others.","Direct"
"54","Positive Wellness Influence","E-PW-3","I rarely show excitement about health or wellness activities.","Reverse"
"55","Nutrition Consideration","A-NC-1","When deciding what to cook or order, I think about what others would enjoy eating.","Direct"
"56","Nutrition Consideration","A-NC-2","I am usually willing to adjust my food choices so everyone feels comfortable.","Direct"
"57","Nutrition Consideration","A-NC-3","When picking a meal, I usually go with what I feel like eating without checking with others.","Reverse"
"58","Wellness Harmony","A-WH-1","When I discuss or debate about health topics, I prefer keeping the conversation respectful.","Direct"
"59","Wellness Harmony","A-WH-2","If someone disagrees with my knowledge or practices on wellness, I'd rather let it go than argue about it.","Direct"
"60","Wellness Harmony","A-WH-3","When talking about health, I like to prove to others why my way is the right way.","Reverse"
"61","Supportive Encouragement","A-SE-1","When someone is struggling with their health goals, I try to offer support and encouragement.","Direct"
"62","Supportive Encouragement","A-SE-2","When someone shares that they've lost weight or hit a fitness goal, I feel genuinely happy for them.","Direct"
"63","Supportive Encouragement","A-SE-3","I don’t usually notice other people's wellness efforts.","Reverse"
"64","Respect for Guidance","A-RG-1","If a friend or family member suggests a better way to eat or exercise, I'm happy to hear them out.","Direct"
"65","Respect for Guidance","A-RG-2","I welcome suggestions about my wellness habits and routines, even if I haven't asked for it.","Direct"
"66","Respect for Guidance","A-RG-3","I get annoyed when people give me health tips, even if they mean well.","Reverse"
"67","Cooperative Participation","A-CP-1","I find it more enjoyable to work on fitness goals when I have a partner or group to do it with.","Direct"
"68","Cooperative Participation","A-CP-2","If my workout partner needs to go slower or faster, I'm happy to match their pace.","Direct"
"69","Cooperative Participation","A-CP-3","Even when exercising with others, I like to follow my own plan rather than the group's.","Reverse"
"70","Shared Recovery Respect","A-SR-1","If someone at home is resting, I try to keep the noise down and avoid disturbing them.","Direct"
"71","Shared Recovery Respect","A-SR-2","When a friend, family member or colleague says they need rest after a tiring day, I avoid asking them to do things until they've recovered.","Direct"
"72","Shared Recovery Respect","A-SR-3","I often do my own thing without checking if it might disturb someone who is trying to rest.","Reverse"
"73","Health Anxiety Sensitivity","N-HA-1","I quickly worry when I notice small changes in how my body feels.","Direct"
"74","Health Anxiety Sensitivity","N-HA-2","Reading about health issues or symptoms online often leaves me feeling worried.","Direct"
"75","Health Anxiety Sensitivity","N-HA-3","When I notice a small ache or unusual feeling in my body, I don't jump to conclusions and worry about it.","Reverse"
"76","Emotional Eating Response","N-EE-1","When I'm feeling low, I often reach for food to feel better.","Direct"
"77","Emotional Eating Response","N-EE-2","On stressful days, I tend to eat more than usual or skip meals entirely.","Direct"
"78","Emotional Eating Response","N-EE-3","Whether I'm happy or upset, I usually eat the same kinds of foods.","Reverse"
"79","Stress Impact on Consistency","N-SC-1","When life gets stressful, wellness becomes less important to me than other things.","Direct"
"80","Stress Impact on Consistency","N-SC-2","During stressful times, I lose the motivation to take care of my health.","Direct"
"81","Stress Impact on Consistency","N-SC-3","I can usually keep basic wellness habits going even when life feels stressful.","Reverse"
"82","Sleep Worry & Mental Overload","N-SW-1","Worrying thoughts often make it hard for me to sleep at night.","Direct"
"83","Sleep Worry & Mental Overload","N-SW-2","After a mentally tiring day, I find it hard to switch off and fall asleep.","Direct"
"84","Sleep Worry & Mental Overload","N-SW-3","During stressful periods, I can usually calm my mind enough to rest when I need to.","Reverse"
"85","Wellness Stability","N-WS-1","I sometimes go from eating perfectly and exercising daily to completely letting go for days.","Direct"
"86","Wellness Stability","N-WS-2","One bad day can make me feel like my whole wellness routine has gone off track.","Direct"
"87","Wellness Stability","N-WS-3","My approach to wellness usually stays balanced even after a setback.","Reverse"
"88","Emotional Recovery Resilience","N-ER-1","After missing a workout or eating poorly, it takes me a while to stop feeling bad about it.","Direct"
"89","Emotional Recovery Resilience","N-ER-2","When I skip a healthy routine I meant to follow, I tend to be hard on myself.","Direct"
"90","Emotional Recovery Resilience","N-ER-3","After a bad day, I usually bounce back and get going again without much trouble.","Reverse"
